SUV39H2|79723_calculated
ZNF670|93474_calculated
ANKRD46|157567_calculated
ZNF140|7699_calculated
OSGEPL1|64172_calculated
FANCL|55120_calculated
NARS2|79731_calculated
HIBCH|26275_calculated
NUDT21|11051_calculated
TFAM|7019_calculated
PRIM2|5558_calculated
LIN9|286826_calculated
C13orf34|79866_calculated
TIMM8A|1678_calculated
SEPHS1|22929_calculated
MAP3K15|389840_calculated
SRSF1|6426_calculated
RAD1|5810_calculated
ZDHHC13|54503_calculated
NFXL1|152518_calculated
OTUD3|23252_calculated
SPATA7|55812_calculated
ARL6|84100_calculated
PACRGL|133015_calculated
FAM98B|283742_calculated
NUCKS1|64710_calculated
RPP40|10799_calculated
PRKACB|5567_calculated
TMEM106B|54664_calculated
KIAA1586|57691_calculated
ASF1A|25842_calculated
GOLIM4|27333_calculated
LMAN1|3998_calculated
HLTF|6596_calculated
PLA2G12A|81579_calculated
SVIP|258010_calculated
TMEM64|169200_calculated
ISOC1|51015_calculated
CETN3|1070_calculated
MTERFD3|80298_calculated
GLCCI1|113263_calculated
C12orf23|90488_calculated
NCOA7|135112_calculated
RNF125|54941_calculated
BCL2|596_calculated
MYO1B|4430_calculated
GLP1R|2740_calculated
GAS2|2620_calculated
KRBA2|124751_calculated
ITGB8|3696_calculated
BACE1|23621_calculated
UGP2|7360_calculated
THUMPD1|55623_calculated
ZNF20|7568_calculated
ZNF443|10224_calculated
ZNF625|90589_calculated
ZNF682|91120_calculated
ZNF558|148156_calculated
ZNF347|84671_calculated
CD47|961_calculated
SLC5A3|6526_calculated
ZNF136|7695_calculated
ZNF433|163059_calculated
SPDYE5|442590_calculated
C17orf57|124989_calculated
EPM2AIP1|9852_calculated
TRNT1|51095_calculated
C11orf54|28970_calculated
AKD1|221264|2of2_calculated
APPL1|26060_calculated
LASS6|253782_calculated
SLC39A10|57181_calculated
PANK3|79646_calculated
ANKIB1|54467_calculated
EPS15|2060_calculated
ZNF148|7707_calculated
MKLN1|4289_calculated
MON2|23041_calculated
C11orf30|56946_calculated
LOC728190|728190_calculated
STX17|55014_calculated
PARP11|57097_calculated
DCAF17|80067_calculated
KIAA1704|55425_calculated
FBXL4|26235_calculated
ATE1|11101_calculated
WDR67|93594_calculated
C3orf31|132001_calculated
MYNN|55892_calculated
ZNF829|374899_calculated
ZNF549|256051_calculated
ZNF235|9310_calculated
FGFR1OP2|26127_calculated
MPP5|64398_calculated
DLG1|1739_calculated
SEC24B|10427_calculated
GFPT1|2673_calculated
NUDT13|25961_calculated
ELF2|1998_calculated
FAM126B|285172|1of2_calculated
FAM126B|285172|2of2_calculated
DIS3|22894_calculated
PRPF40A|55660_calculated
VPS54|51542_calculated
C1orf27|54953_calculated
PRPF4B|8899_calculated
PAPOLA|10914_calculated
ZBTB1|22890_calculated
TMF1|7110_calculated
MIER3|166968_calculated
RSBN1|54665_calculated
LEMD3|23592_calculated
NAA30|122830_calculated
PPM1A|5494_calculated
RB1CC1|9821_calculated
DENND4C|55667_calculated
PDZK1|5174_calculated
